id	kritiker_etternavn	kritiker_fornavn	kritiker_kjonn	kritiker_pseudonym	kritiker_kommentar	kritikktype	publikasjon	utgivelsessted	aar	dato	aargang	nummer	bind	hefte	sidetall	utgivelseskommentar	tittel	spraak	kommentar	forfatter_etternavn	forfatter_fornavn	forfatter_kommentar	forfatter_kjonn	verk_tittel	verk_utgivelsessted	verk_dato	verk_sjanger	verk_spraak	verk_kommentar
17457	Halvorsen	Finn	mann			dagskritikk	Morgenposten		1922	22. des										Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17458	Midttun	Olav	mann			artikkel	Syn og Segn		1922						472			nynorsk		Uppdal	Kristofer		mann	I skiftet	Kristiania	1922	roman	nynorsk	arbeiderlitteratur
17459	anonym		ukjent			artikkel	Mot Dag		1922						19		Landsmålslitteraturen 		sympatisk om Uppdals bøker	Uppdal	Kristofer		mann						
17460	Hoel	Sigurd	mann			dagskritikk	Arbeiderbladet		1923	03. mai									sosialistisk kritikk	Uppdal	Kristofer		mann	Røysingfolket	Kristiania	1914	roman	nynorsk	arbeiderlitteratur, ny utgave 1923
17461	anonym		ukjent			artikkel	Bratsberg-Demokraten		1923	22. mai							Får arbeiderdikteren Kristofer Uppdal diktergasje?			Uppdal	Kristofer		mann						
17462	Raknes	Ola	mann			dagskritikk	Den 17de Mai		1923	15. nov								nynorsk		Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17463	Bergendahl	Erling	mann			dagskritikk	Morgenposten		1923	15. nov										Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17464	Føyen	Jean F.	mann			dagskritikk	Norges Handels- og Sjøfartstidende		1923	19. nov										Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17465			ukjent	R.T.		dagskritikk	Norges Kommunistblad		1923	21. nov									sosialistisk kritikk	Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17466	Tiberg	Antonie	kvinne			dagskritikk	Hamar Stiftstidende		1923	22. nov										Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17467	Fangen	Ronald	mann	R.F.		dagskritikk	Dagbladet		1923	24. nov		274								Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17468	Elster	Kristian d.y.	mann			dagskritikk	Aftenposten		1923	24. nov						Morgenutgaven				Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17469	Debes	Inge	mann	I.D.		dagskritikk	Nationen		1923	24. nov										Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17470	Dalgard	Olav	mann			dagskritikk	Fram		1923	01. des								nynorsk		Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17471	Hoprekstad	Olav	mann			dagskritikk	Bergens Tidende		1923	01. des								nynorsk		Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17472	Os	Edv.	mann			dagskritikk	Norsk Ungdom		1923	01. des					315-316			nynorsk		Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17473			ukjent	Bz.		dagskritikk	Trondhjems Adresseavis		1923	01. des										Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17474			ukjent	E.H.		dagskritikk	Gula Tidend		1923	2. des								nynorsk		Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17475			ukjent	A.S.		dagskritikk	Nationalbladet		1923	4. des										Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17476	Hatlemark	Olav	mann	-rk		dagskritikk	Sunnmørsposten		1923	4. des										Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17477	Bjørge	Johan Halvor	mann	Lektor Bjørge		dagskritikk	Nidaros		1923	5. des										Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17478			ukjent	E.H.		artikkel	Gula Tidend		1923	8. des							øl-Kalles ferd	nynorsk		Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17479	Mueller	Oluf Rygh	mann	O.R.M.		dagskritikk	Ny Tid		1923	8. des									sosialistisk kritikk	Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17480	Hoel	Sigurd	mann			dagskritikk	Arbeiderbladet		1923	11. des									sosialistisk kritikk	Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17481			ukjent	E.Hg.		dagskritikk	Stavanger		1923	15. des										Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17482	Nes	Simon	mann			dagskritikk	1ste Mai		1923	18. des									sosialistisk kritikk	Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17483	Larsen	Alf	mann			dagskritikk	Tidens Tegn		1923	19. des		295								Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17484			ukjent	H.		dagskritikk	Rjukan Arbeiderblad		1923	19. des									sosialistisk kritikk	Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17485	Berulvson	Torgeir	mann			dagskritikk	Agder Tidend		1923	21. des								nynorsk		Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17486	anonym		ukjent			dagskritikk	For Bygd og By		1923	22. des										Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17487	Johansen	P. Moe	mann	P.M.Joh.		dagskritikk	Smaalenenes Social-Demokrat		1923	22. des									sosialistisk kritikk	Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17488	Hauso	O.	mann			dagskritikk	Norig		1923	22. des								nynorsk		Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17489	Minde	Otto	mann			artikkel	Syn og Segn		1923						429-430			nynorsk		Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17490	Alvheim	Olav	mann			artikkel	Gula Tidend		1924	7. jan							øl-Kalles ferd	nynorsk		Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
