opes_id	ser_vol	editor	year	pg_no	photo	sb	corrections	preferred_citation	ddbdp_pmichcitation	ddbdp_omichcitation	ddbdp_p_rep	ddbdp_o_rep
138	Philologus 71	Eitrem S	1912	24		SB I 5661	Amundsen L, Chr.d'Eg. 7 (1932) 328 no.3Bagnall R, BASP 27 (1990) 13-14 (l.14)	Eitrem S, Philologus 71, 24, 1912 -- SB I 5661 -- Amundsen L, Chr.d'Eg. 7 (1932) 328 no.3Bagnall R, BASP 27 (1990) 13-14 (l.14)	SB:1:5661			"
139	P.Oslo II	Eitrem S-Amundsen L 	1931	25				Eitrem S-Amundsen L , P.Oslo II, 25, 1931	p.oslo;2;25			"
140	P.Oslo III 	Eitrem S-Amundsen L 	1936	168				Eitrem S-Amundsen L , P.Oslo III , 168, 1936				"
141	P.Oslo III 	Eitrem S-Amundsen L 	1936	170				Eitrem S-Amundsen L , P.Oslo III , 170, 1936				"
142	P.Oslo III	Eitrem S-Amundsen L 	1936	177				Eitrem S-Amundsen L , P.Oslo III, 177, 1936				"
143	P.Oslo III	Eitrem S-Amundsen L 	1936	116				Eitrem S-Amundsen L , P.Oslo III, 116, 1936	p.oslo;3;116			"
144	P.Oslo III	Eitrem S-Amundsen L 	1936	174				Eitrem S-Amundsen L , P.Oslo III, 174, 1936				"
145	SO 79	Maravela-Solbakk A	2004	109-116	p. 114			Maravela-Solbakk A, SO 79, 109-116, 2004, p. 114				"
146	Proceedings of the 24th International Congress of papyrology, Helsinki	Maravela-Solbakk A - Leith D	2007	637-650	Pl XXXI			Maravela-Solbakk A - Leith D, Proceedings of the 24th International Congress of papyrology, Helsinki, 637-650, 2007, Pl XXXI				"
147	P.Oslo III	Eitrem S-Amundsen L 	1936	117				Eitrem S-Amundsen L , P.Oslo III, 117, 1936	p.oslo;3;117			"
148	P.Oslo III	Eitrem S-Amundsen L 	1936	118			Reiter F, Die Nomarchen des Arsinoites. 2004, 29 (l.1)	Eitrem S-Amundsen L , P.Oslo III, 118, 1936 -- Reiter F, Die Nomarchen des Arsinoites. 2004, 29 (l.1)	p.oslo;3;118			"
149	P.Oslo II	Eitrem S-Amundsen L 	1931	29			Schmidt K, Gött.Gel.Anz. 194 (1932) 281 (l.4);P.Oslo II (1931) 153	Eitrem S-Amundsen L , P.Oslo II, 29, 1931 -- Schmidt K, Gött.Gel.Anz. 194 (1932) 281 (l.4);P.Oslo II (1931) 153	p.oslo;2;29			"
150	P.Oslo III	Eitrem S-Amundsen L 	1936	92				Eitrem S-Amundsen L , P.Oslo III, 92, 1936	p.oslo;3;92			"
151	P.Oslo II	Eitrem S-Amundsen L 	1931	21				Eitrem S-Amundsen L , P.Oslo II, 21, 1931	p.oslo;2;21			"
152	P.Oslo II	Eitrem S-Amundsen L 	1931	42			Youtie HC, C.Ph. 27 (1932) 90 (col.II, l.4)	Eitrem S-Amundsen L , P.Oslo II, 42, 1931 -- Youtie HC, C.Ph. 27 (1932) 90 (col.II, l.4)	p.oslo;2;42			"
153	P.Oslo II	Eitrem S-Amundsen L 	1931	26a			Gonis N, ZPE 126 (1999), p. 209 (l.21-22)	Eitrem S-Amundsen L , P.Oslo II, 26a, 1931 -- Gonis N, ZPE 126 (1999), p. 209 (l.21-22)	p.oslo;2;26a			"
154	P.Oslo III	Eitrem S-Amundsen L 	1936	95	Pl. VII c			Eitrem S-Amundsen L , P.Oslo III, 95, 1936, Pl. VII c	p.oslo;3;95			"
155	P.Oslo III	Eitrem S-Amundsen L 	1936	96				Eitrem S-Amundsen L , P.Oslo III, 96, 1936	p.oslo;3;96			"
156	P.Oslo III	Eitrem S-Amundsen L 	1936	167				Eitrem S-Amundsen L , P.Oslo III, 167, 1936				"
157	P.Oslo III	Eitrem S-Amundsen L 	1936	172				Eitrem S-Amundsen L , P.Oslo III, 172, 1936				"
158	P.Oslo III	Eitrem S-Amundsen L 	1936	81			Thomas JD, The epistrategos in Ptolemaic and Roman Egypt, vol.2 (1982) p. 71, n.11 (l.9-10)	Eitrem S-Amundsen L , P.Oslo III, 81, 1936 -- Thomas JD, The epistrategos in Ptolemaic and Roman Egypt, vol.2 (1982) p. 71, n.11 (l.9-10)	p.oslo;3;81			"
159	P.Oslo II	Eitrem S-Amundsen L 	1931	19				Eitrem S-Amundsen L , P.Oslo II, 19, 1931	p.oslo;2;19			"
160	P.Oslo II 	Eitrem S-Amundsen L 	1931	30	Pl.IIIa		Bell HI, Mizraim I (1933), p. 190 (l.2)Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 281 (l. 6, 11, 16f)BL 2,2, p.211 (l.17, 19)	Eitrem S-Amundsen L , P.Oslo II , 30, 1931, Pl.IIIa -- Bell HI, Mizraim I (1933), p. 190 (l.2)Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 281 (l. 6, 11, 16f)BL 2,2, p.211 (l.17, 19)	p.oslo;2;30			"
161	P.Oslo II	Eitrem S-Amundsen L 	1931	32	Pl. IVa,b		Wilcken U, APF 10, p. 85 (l. 4)Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 281f (l. 4, 11, 12, 17, 21f)Bell HI, CR 46 (1932) p. 24 (l. 4)Youtie HC, CPh 27 (1932) p. 89-94 (l. 4, 7-8, 12, verso)P.Oslo III, p. 275 (17: Schmidt; 35: Youtie)Wegener EP, JEA 23 (1937) p.211 (l. 36)	Eitrem S-Amundsen L , P.Oslo II, 32, 1931, Pl. IVa,b -- Wilcken U, APF 10, p. 85 (l. 4)Schmidt KFW, Göttingische gelehrte Anzeigen 194 (1932) p. 281f (l. 4, 11, 12, 17, 21f)Bell HI, CR 46 (1932) p. 24 (l. 4)Youtie HC, CPh 27 (1932) p. 89-94 (l. 4, 7-8, 12, verso)P.Oslo III, p. 275 (17: Schmidt; 35: Youtie)Wegener EP, JEA 23 (1937) p.211 (l. 36)	p.oslo;2;32			"
162	P.Oslo II	Eitrem S-Amundsen L 	1931	63			Drexhage HJ, Münst.Beitr.ant.Handelsgesch. 6/2 (1987) 37-38 (dating)Rathbone DW, Economie antique, p.229 (refutes Drexhage's dating)	Eitrem S-Amundsen L , P.Oslo II, 63, 1931 -- Drexhage HJ, Münst.Beitr.ant.Handelsgesch. 6/2 (1987) 37-38 (dating)Rathbone DW, Economie antique, p.229 (refutes Drexhage's dating)	p.oslo;2;63			"
163	P.Oslo II	Eitrem S-Amundsen L 	1931	58				Eitrem S-Amundsen L , P.Oslo II, 58, 1931	p.oslo;2;58			"
164	P.Oslo II	Eitrem S-Amundsen L 	1931	34			Kalen T, Berl.Leigabe griech.Pap 1 (1932), p.195 (l.11)	Eitrem S-Amundsen L , P.Oslo II, 34, 1931 -- Kalen T, Berl.Leigabe griech.Pap 1 (1932), p.195 (l.11)	p.oslo;2;34			"
165	P.Oslo III	Eitrem S-Amundsen L 	1936	144			P.Oslo III (1936) p. 279 (l 18.32)Kreucher G, APF 44 (1998), p. 274 (date)	Eitrem S-Amundsen L , P.Oslo III, 144, 1936 -- P.Oslo III (1936) p. 279 (l 18.32)Kreucher G, APF 44 (1998), p. 274 (date)	p.oslo;3;144			"
166	P.Oslo II	Eitrem S-Amundsen L 	1931	31				Eitrem S-Amundsen L , P.Oslo II, 31, 1931	p.oslo;2;31			"
167	P.Oslo II	Eitrem S-Amundsen L 	1931	35			Schmidt K FR W, Gött. Gel. Anz. 194 (1932) p. 282 (l. 4f, 8)B.L. 2, 2 p. 211 (l.14)Braunert H, Die Binnenwanderung (1964) p. 298, n. 36 (l. 5)Sijpesteijn PJ - Worp KA, ZPE 26 (1977) p. 276, n. 28 (date)Bagnall R - Worp KA, Mnemosyne 31 (1978) p. 288-290 (l. 10)P.Oxy. 55. 3803, n. to l. 2 (l. 4)	Eitrem S-Amundsen L , P.Oslo II, 35, 1931 -- Schmidt K FR W, Gött. Gel. Anz. 194 (1932) p. 282 (l. 4f, 8)B.L. 2, 2 p. 211 (l.14)Braunert H, Die Binnenwanderung (1964) p. 298, n. 36 (l. 5)Sijpesteijn PJ - Worp KA, ZPE 26 (1977) p. 276, n. 28 (date)Bagnall R - Worp KA, Mnemosyne 31 (1978) p. 288-290 (l. 10)P.Oxy. 55. 3803, n. to l. 2 (l. 4)	p.oslo;2;35			"
168	P.Oslo II	Eitrem S-Amundsen L 	1931	33	Klio 22 (1929) pl.1 (after p.226)			Eitrem S-Amundsen L , P.Oslo II, 33, 1931, Klio 22 (1929) pl.1 (after p.226)	p.oslo;2;33			"
169	P.Oslo II	Eitrem S-Amundsen L 	1931	33 				Eitrem S-Amundsen L , P.Oslo II, 33 , 1931	p.oslo;2;33			"
170	P.Oslo III	Eitrem S-Amundsen L 	1936	79	Pl.IIIc			Eitrem S-Amundsen L , P.Oslo III, 79, 1936, Pl.IIIc	p.oslo;3;79			"
171	P.Oslo III	Eitrem S-Amundsen L 	1936	145				Eitrem S-Amundsen L , P.Oslo III, 145, 1936	p.oslo;3;145			"
172	P.Oslo III	Eitrem S-Amundsen L 	1936	146			Bagnall R, Currency and inflation in fourth century Egypt (BASP Supl. 5, 1985) p. 58 (date)	Eitrem S-Amundsen L , P.Oslo III, 146, 1936 -- Bagnall R, Currency and inflation in fourth century Egypt (BASP Supl. 5, 1985) p. 58 (date)	p.oslo;3;146			"
173	P.Oslo III	Eitrem S-Amundsen L 	1936	147				Eitrem S-Amundsen L , P.Oslo III, 147, 1936	p.oslo;3;147			"
