"id","name","entity_type","noraf_id"
585,"Bjarvin, Kjellfrid","person",
586,"Bjornseth, Finn","person",
587,"Bjornstad, Ellen","person",
588,"Gundersen, Rita","person",
589,"Skeie, Svein Ole","person",
590,"Skavlan, Einar","person",
591,"Bore, Marie Rein","person",
592,"Skard, Sigmund","person",
593,"Bredal, Hans-Petter","person",
594,"Brevik, Harry Robert","person",
595,"Skard, Jon","person",
596,"Boyum, Brita","person",
597,"Christensen, Gunnar","person",
598,"Christoffersen, Karen Elisabeth","person",
599,"Christoffersen, Kare","person",
600,"Dyrland, Eivind","person",
601,"Sivertsen, Dagfinn","person",
602,"Schonberg, E.","person",
603,"Sandas, Astrid","person",
604,"Sandnes, Arne","person",
605,"Sanderud, Roar","person",
606,"Rolvag, Torbjorn","person",
607,"Rakil, Even","person",
608,"Rydland, Magne","person",
609,"Rudd, Kari Reidun","person",
610,"Ross, Immanuel","person",
611,"Rosen, Bodil","person",
612,"Ree, Knut","person",
613,"Pettersen, Per Arnt","person",
614,"Pedersen, Oddrun","person",
615,"Ormkleiv, Liv Torunn","person",
616,"Olsen, A. Morgan","person",
617,"Nilsen, Kare Viggo","person",
618,"Nerheim, Gunnar","person",
619,"Moe, Karin","person",
620,"Mathisen, Kjell Olav","person",
621,"Marthinsen, Svenn Kristian","person",
622,"Lie, Espen","person",
623,"Lende, Leif Kare","person",
624,"Lassen, Birger Stuevold","person",
625,"Larsen, Anne Brunsvik","person",
626,"Osterud, Erik","person",
627,"Jorstad, Arvid Sigmund","person",
628,"Johansen, Annar J.","person",
629,"Johannessen, Helge Einar","person",
630,"Svennik, Hoyer","person",
631,"Hopp, Zinken","person",
632,"Holen, Thor","person",
633,"Helseth, Jon-Anders","person",
634,"Grogaard, Johan Fredrik","person",
635,"Heien, Anders","person",
636,"Hedum, Per Albert","person",
637,"Hasle, Ase Gullvag","person",
638,"Hansteen, Fredrikke","person",
639,"Hansen, A. L.","person",
640,"Hannaas, Oscar","person",
641,"Hambro, Carl","person",
642,"Haarberg, Jon Marius","person",
643,"Gundersen, Liv","person",
644,"Harlem, Ole K.","person",
645,"Forde, Gerd Ildri Nordvik","person",
646,"Fredriksen, Tore","person",
647,"Forseth, Asil","person",
648,"Espeland, Magne","person",
649,"Erstad, Oystein","person",
650,"Engelstad, Kari Ingelin","person",
651,"Engelstad, Carl Fredrik","person",
652,"Engan, Helge","person",
898,"Rehnberg, Hanna Sofia","person",
654,"Sandnes, Jorn","person",
655,"Dybdahl, Audun","person",
656,"Astad, Randi","person",
657,"Oren, Froydis","person",
658,"Espeset, Hilde","person",
659,"Huus, Rolf","person",
660,"Jensen, Brikt","person",
662,"Brandtzaeg, Johannes","person",
