"publication_id","creator_id","posisjon","role"
720,406,1,["forfatter"]
721,191,1,["forfatter"]
722,207,1,["forfatter"]
724,171,1,["forfatter"]
725,407,1,["forfatter"]
726,408,1,["forfatter"]
727,243,1,["forfatter"]
728,204,1,["forfatter"]
729,409,1,["forfatter"]
730,410,1,["forfatter"]
731,411,1,["forfatter"]
732,412,1,["forfatter"]
733,413,1,["forfatter"]
734,414,1,["forfatter"]
735,415,1,["forfatter"]
736,416,1,["forfatter"]
737,338,1,["forfatter"]
738,41,1,["forfatter"]
739,41,1,["forfatter"]
740,417,1,["forfatter"]
741,418,1,["forfatter"]
742,419,1,["forfatter"]
743,420,1,["forfatter"]
744,245,1,["forfatter"]
745,67,1,["forfatter"]
746,421,1,["forfatter"]
747,114,1,["forfatter"]
748,422,1,["forfatter"]
749,24,1,["forfatter"]
750,103,1,["forfatter"]
751,87,1,["forfatter"]
752,423,1,["forfatter"]
753,424,1,["forfatter"]
754,425,1,["forfatter"]
755,426,1,["forfatter"]
756,427,1,["forfatter"]
757,428,1,["forfatter"]
758,421,1,["forfatter"]
759,429,1,["forfatter"]
760,430,1,["forfatter"]
762,431,1,["redaktør"]
762,432,2,["redaktør"]
762,433,3,["redaktør"]
763,433,3,["redaktør"]
764,434,1,["forfatter"]
765,435,1,["forfatter"]
766,114,1,["forfatter"]
767,436,1,["forfatter"]
478,259,1,["forfatter"]
768,67,1,["redaktør"]
769,121,1,["forfatter"]
1096,470,1,["forfatter"]
771,438,1,["forfatter"]
772,439,1,["redaktør"]
772,440,2,["redaktør"]
773,441,1,["forfatter"]
774,442,1,["forfatter"]
774,443,1,["redaktør"]
775,332,1,["forfatter"]
775,333,2,["forfatter"]
777,444,1,["forfatter"]
779,115,1,["forfatter"]
780,445,1,["forfatter"]
781,446,1,["forfatter"]
782,52,1,["forfatter"]
783,447,1,["forfatter"]
784,448,1,["forfatter"]
785,449,1,["forfatter"]
786,44,1,["forfatter"]
786,45,2,["forfatter"]
786,47,3,["forfatter"]
786,48,4,["forfatter"]
787,197,1,["forfatter"]
788,450,1,["forfatter"]
789,451,1,["forfatter"]
790,204,1,["forfatter"]
791,28,1,["forfatter"]
792,452,1,["forfatter"]
793,453,1,["forfatter"]
794,221,1,["forfatter"]
795,454,1,["forfatter"]
796,455,1,["forfatter"]
797,456,1,["forfatter"]
798,457,1,["forfatter"]
799,458,1,["forfatter"]
800,459,1,["forfatter"]
801,460,1,["forfatter"]
801,461,2,["forfatter"]
802,27,1,["forfatter"]
803,463,2,["forfatter"]
803,462,1,["forfatter"]
804,464,1,["forfatter"]
805,465,1,["forfatter"]
806,64,1,["forfatter"]
807,377,1,["forfatter"]
808,435,1,["forfatter"]
809,466,1,["forfatter"]
810,467,1,["redaktør"]
811,64,1,["redaktør"]
812,468,1,["forfatter"]
813,469,1,["redaktør"]
813,397,2,["redaktør"]
813,470,3,["redaktør"]
813,471,4,["redaktør"]
814,64,1,["redaktør"]
815,472,1,["forfatter"]
816,413,1,["forfatter"]
817,27,1,["forfatter"]
818,64,1,["redaktør"]
818,473,2,["redaktør"]
819,474,1,["forfatter"]
820,475,1,["forfatter"]
821,476,1,["forfatter"]
822,477,1,["forfatter"]
823,478,1,["forfatter"]
824,480,2,["forfatter"]
824,479,1,["forfatter"]
825,181,1,["forfatter"]
826,186,1,["forfatter"]
827,186,1,["forfatter"]
828,186,1,["forfatter"]
829,481,1,["forfatter"]
830,482,1,["forfatter"]
831,482,1,["forfatter"]
832,483,1,["forfatter"]
833,484,1,["forfatter"]
834,197,1,["forfatter"]
835,485,1,["forfatter"]
836,486,1,["forfatter"]
837,487,1,["forfatter"]
838,488,1,["forfatter"]
1095,626,1,["forfatter"]
841,489,1,["forfatter"]
842,490,1,["forfatter"]
843,491,1,["forfatter"]
844,492,1,["forfatter"]
845,271,1,["forfatter"]
846,413,1,["forfatter"]
847,493,1,["forfatter"]
848,494,1,["forfatter"]
849,495,1,["forfatter"]
850,496,1,["forfatter"]
851,497,1,["forfatter"]
852,498,1,["forfatter"]
853,142,1,["forfatter"]
854,367,1,["forfatter"]
855,493,1,["forfatter"]
856,149,1,["forfatter"]
857,499,1,["forfatter"]
858,500,1,["forfatter"]
859,501,1,["forfatter"]
860,19,1,["forfatter"]
861,128,1,["forfatter"]
862,128,1,["forfatter"]
863,502,1,["forfatter"]
864,503,1,["forfatter"]
865,504,1,["forfatter"]
866,505,1,["forfatter"]
867,506,1,["forfatter"]
868,507,1,["forfatter"]
869,508,1,["forfatter"]
870,1,1,["forfatter"]
871,141,1,["forfatter"]
872,37,1,["forfatter"]
873,509,1,["forfatter"]
874,195,1,["forfatter"]
875,162,1,["forfatter"]
876,510,1,["forfatter"]
877,511,1,["forfatter"]
878,512,1,["forfatter"]
879,513,1,["forfatter"]
880,229,1,["forfatter"]
881,491,1,["forfatter"]
882,514,1,["forfatter"]
883,515,1,["forfatter"]
884,516,1,["forfatter"]
885,392,1,["forfatter"]
886,517,1,["forfatter"]
887,518,1,["forfatter"]
888,484,1,["forfatter"]
889,519,1,["forfatter"]
890,64,1,["forfatter"]
891,520,1,["forfatter"]
892,149,1,["forfatter"]
893,521,1,["forfatter"]
894,522,1,["forfatter"]
895,523,1,["forfatter"]
896,524,1,["forfatter"]
897,48,7,["forfatter"]
897,47,6,["forfatter"]
897,46,5,["forfatter"]
897,45,4,["forfatter"]
897,44,3,["forfatter"]
897,43,2,["forfatter"]
897,42,1,["forfatter"]
898,525,1,["forfatter"]
899,526,1,["forfatter"]
900,412,1,["forfatter"]
901,149,1,["forfatter"]
902,1,1,["redaktør"]
903,527,1,["redaktør"]
904,528,1,["forfatter"]
905,32,1,["forfatter"]
906,529,1,["forfatter"]
907,530,3,["forfatter"]
907,532,2,["forfatter"]
907,531,1,["forfatter"]
908,103,1,["forfatter"]
909,454,1,["forfatter"]
910,533,1,["forfatter"]
911,60,2,["forfatter"]
911,61,3,["forfatter"]
912,534,1,["forfatter"]
913,535,1,["forfatter"]
914,536,1,["forfatter"]
915,118,1,["forfatter"]
916,171,1,["forfatter"]
917,103,1,["forfatter"]
918,537,1,["forfatter"]
919,320,1,["forfatter"]
920,1,1,["forfatter"]
921,538,1,["forfatter"]
922,539,1,["forfatter"]
923,278,1,["forfatter"]
924,540,1,["forfatter"]
925,414,1,["forfatter"]
926,541,1,["forfatter"]
927,1,1,["forfatter"]
928,540,2,["forfatter"]
928,542,1,["forfatter"]
929,543,1,["forfatter"]
930,8,1,["forfatter"]
931,310,1,["forfatter"]
932,544,1,["forfatter"]
933,358,1,["forfatter"]
934,175,1,["forfatter"]
935,547,3,["forfatter"]
935,546,2,["forfatter"]
935,545,1,["forfatter"]
936,262,1,["forfatter"]
937,103,1,["forfatter"]
938,542,1,["forfatter"]
939,186,1,["forfatter"]
940,548,1,["forfatter"]
941,197,1,["forfatter"]
942,549,1,["forfatter"]
943,551,2,["redaktør"]
943,550,1,["redaktør"]
945,92,1,["forfatter"]
946,201,1,["forfatter"]
947,552,1,["forfatter"]
948,553,1,["forfatter"]
949,93,1,["forfatter"]
950,540,1,["forfatter"]
951,263,1,["forfatter"]
951,357,2,["forfatter"]
951,554,3,["forfatter"]
952,555,1,["forfatter"]
953,248,1,["forfatter"]
954,556,1,["forfatter"]
955,557,1,["forfatter"]
955,338,2,["forfatter"]
956,558,1,["forfatter"]
956,386,2,["forfatter"]
957,559,1,["forfatter"]
957,560,2,["forfatter"]
958,561,1,["forfatter"]
959,562,1,["forfatter"]
960,563,1,["forfatter"]
1109,667,1,["forfatter"]
961,565,1,["redaktør"]
962,566,1,["forfatter"]
963,39,1,["forfatter"]
964,567,1,["forfatter"]
965,568,1,["forfatter"]
966,569,1,["forfatter"]
967,570,1,["forfatter"]
968,262,1,["forfatter"]
969,571,1,["forfatter"]
970,572,1,["forfatter"]
971,256,3,["forfatter"]
971,168,4,["forfatter"]
971,57,1,["forfatter"]
971,58,2,["forfatter"]
972,573,1,["forfatter"]
973,574,1,["forfatter"]
974,575,1,["forfatter"]
975,576,1,["forfatter"]
976,277,1,["forfatter"]
977,256,1,["forfatter"]
978,256,1,["forfatter"]
979,188,1,["forfatter"]
980,577,1,["forfatter"]
981,578,1,["forfatter"]
982,579,1,["forfatter"]
983,580,1,["forfatter"]
984,168,1,["forfatter"]
985,581,1,["forfatter"]
986,582,1,["forfatter"]
987,583,1,["forfatter"]
988,584,1,["forfatter"]
989,585,1,["forfatter"]
990,530,3,["redaktør"]
992,41,1,["forfatter"]
993,587,1,["forfatter"]
993,588,2,["forfatter"]
994,8,1,["forfatter"]
995,589,1,["forfatter"]
996,590,1,["forfatter"]
997,591,1,["forfatter"]
998,592,1,["forfatter"]
999,593,1,["forfatter"]
1000,594,1,["forfatter"]
1002,358,1,["forfatter"]
1003,358,1,["forfatter"]
1004,595,1,["forfatter"]
1005,358,1,["redaktør"]
1006,596,1,["forfatter"]
1007,597,1,["forfatter"]
1008,598,1,["forfatter"]
1009,599,1,["forfatter"]
1010,600,1,["forfatter"]
1011,413,1,["forfatter"]
1012,413,1,["forfatter"]
1013,601,1,["forfatter"]
1014,602,1,["forfatter"]
1014,288,2,["forfatter"]
1015,603,1,["forfatter"]
1016,150,1,["forfatter"]
1017,604,1,["forfatter"]
1018,605,1,["forfatter"]
1019,606,1,["forfatter"]
1020,607,1,["forfatter"]
1021,608,1,["forfatter"]
1022,353,1,["forfatter"]
1023,609,1,["forfatter"]
1024,610,1,["forfatter"]
1025,611,1,["forfatter"]
1026,348,1,["forfatter"]
1027,612,1,["forfatter"]
1028,613,1,["forfatter"]
1029,614,1,["forfatter"]
1030,615,1,["forfatter"]
1031,616,1,["forfatter"]
1032,342,1,["forfatter"]
1033,617,1,["forfatter"]
1034,618,1,["forfatter"]
1035,619,1,["forfatter"]
1036,620,1,["forfatter"]
1037,621,1,["forfatter"]
1038,367,1,["forfatter"]
1039,622,1,["forfatter"]
1040,623,1,["forfatter"]
1041,624,1,["forfatter"]
1042,625,1,["forfatter"]
1043,330,1,["forfatter"]
1046,627,1,["forfatter"]
